GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,0100000US,,United States,United States,46242,104
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,36879,529
0100000US,,United States,1600000US0107000,0107000,United States - Alabama - Birmingham city,Birmingham city,27020,1788
0100000US,,United States,1600000US0135896,0135896,United States - Alabama - Hoover city,Hoover city,71405,6227
0100000US,,United States,1600000US0137000,0137000,United States - Alabama - Huntsville city,Huntsville city,44000,4236
0100000US,,United States,1600000US0150000,0150000,United States - Alabama - Mobile city,Mobile city,31107,2048
0100000US,,United States,1600000US0151000,0151000,United States - Alabama - Montgomery city,Montgomery city,40582,2384
0100000US,,United States,1600000US0177256,0177256,United States - Alabama - Tuscaloosa city,Tuscaloosa city,24257,3322
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,56234,1807
0100000US,,United States,1600000US0203000,0203000,United States - Alaska - Anchorage municipality,Anchorage municipality,61217,2580
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,44282,646
0100000US,,United States,1600000US0404720,0404720,United States - Arizona - Avondale city,Avondale city,53085,7394
0100000US,,United States,1600000US0412000,0412000,United States - Arizona - Chandler city,Chandler city,62010,2914
0100000US,,United States,1600000US0427400,0427400,United States - Arizona - Gilbert town,Gilbert town,76171,6117
0100000US,,United States,1600000US0427820,0427820,United States - Arizona - Glendale city,Glendale city,46713,3754
0100000US,,United States,1600000US0446000,0446000,United States - Arizona - Mesa city,Mesa city,44861,2251
0100000US,,United States,1600000US0454050,0454050,United States - Arizona - Peoria city,Peoria city,60417,3971
0100000US,,United States,1600000US0455000,0455000,United States - Arizona - Phoenix city,Phoenix city,42353,865
0100000US,,United States,1600000US0465000,0465000,United States - Arizona - Scottsdale city,Scottsdale city,60057,3985
0100000US,,United States,1600000US0471510,0471510,United States - Arizona - Surprise city,Surprise city,53958,5077
0100000US,,United States,1600000US0473000,0473000,United States - Arizona - Tempe city,Tempe city,45644,3664
0100000US,,United States,1600000US0477000,0477000,United States - Arizona - Tucson city,Tucson city,34241,1364
0100000US,,United States,1600000US0485540,0485540,United States - Arizona - Yuma city,Yuma city,37572,3217
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,34999,599
0100000US,,United States,1600000US0523290,0523290,United States - Arkansas - Fayetteville city,Fayetteville city,37001,2637
0100000US,,United States,1600000US0524550,0524550,United States - Arkansas - Fort Smith city,Fort Smith city,32271,4431
0100000US,,United States,1600000US0541000,0541000,United States - Arkansas - Little Rock city,Little Rock city,39882,2575
0100000US,,United States,0400000US06,06,United States - California,California,53629,324
0100000US,,United States,1600000US0600562,0600562,United States - California - Alameda city,Alameda city,65758,8513
0100000US,,United States,1600000US0600884,0600884,United States - California - Alhambra city,Alhambra city,47340,6303
0100000US,,United States,1600000US0602000,0602000,United States - California - Anaheim city,Anaheim city,52158,2393
0100000US,,United States,1600000US0602252,0602252,United States - California - Antioch city,Antioch city,65882,5366
0100000US,,United States,1600000US0602364,0602364,United States - California - Apple Valley town,Apple Valley town,51119,8864
0100000US,,United States,1600000US0602553,0602553,United States - California - Arden-Arcade CDP,Arden-Arcade CDP,46167,5188
0100000US,,United States,1600000US0603526,0603526,United States - California - Bakersfield city,Bakersfield city,45174,2496
0100000US,,United States,1600000US0603666,0603666,United States - California - Baldwin Park city,Baldwin Park city,42432,6995
0100000US,,United States,1600000US0604982,0604982,United States - California - Bellflower city,Bellflower city,41507,7095
0100000US,,United States,1600000US0606000,0606000,United States - California - Berkeley city,Berkeley city,48123,4340
0100000US,,United States,1600000US0608786,0608786,United States - California - Buena Park city,Buena Park city,58057,8163
0100000US,,United States,1600000US0608954,0608954,United States - California - Burbank city,Burbank city,51516,4915
0100000US,,United States,1600000US0611194,0611194,United States - California - Carlsbad city,Carlsbad city,78037,5431
0100000US,,United States,1600000US0611530,0611530,United States - California - Carson city,Carson city,61654,8132
0100000US,,United States,1600000US0613014,0613014,United States - California - Chico city,Chico city,32436,2668
0100000US,,United States,1600000US0613210,0613210,United States - California - Chino city,Chino city,68705,5396
0100000US,,United States,1600000US0613214,0613214,United States - California - Chino Hills city,Chino Hills city,93133,11150
0100000US,,United States,1600000US0613392,0613392,United States - California - Chula Vista city,Chula Vista city,55610,3016
0100000US,,United States,1600000US0613588,0613588,United States - California - Citrus Heights city,Citrus Heights city,49636,2998
0100000US,,United States,1600000US0614218,0614218,United States - California - Clovis city,Clovis city,56863,6797
0100000US,,United States,1600000US0615044,0615044,United States - California - Compton city,Compton city,39009,4673
0100000US,,United States,1600000US0616000,0616000,United States - California - Concord city,Concord city,60458,3773
0100000US,,United States,1600000US0616350,0616350,United States - California - Corona city,Corona city,68049,3764
0100000US,,United States,1600000US0616532,0616532,United States - California - Costa Mesa city,Costa Mesa city,53361,3257
0100000US,,United States,1600000US0617918,0617918,United States - California - Daly City city,Daly City city,59199,4527
0100000US,,United States,1600000US0619766,0619766,United States - California - Downey city,Downey city,42191,5973
0100000US,,United States,1600000US0620802,0620802,United States - California - East Los Angeles CDP,East Los Angeles CDP,31915,4221
0100000US,,United States,1600000US0621712,0621712,United States - California - El Cajon city,El Cajon city,47050,5278
0100000US,,United States,1600000US0622020,0622020,United States - California - Elk Grove city,Elk Grove city,82784,6279
0100000US,,United States,1600000US0622230,0622230,United States - California - El Monte city,El Monte city,36630,4698
0100000US,,United States,1600000US0622804,0622804,United States - California - Escondido city,Escondido city,51857,3052
0100000US,,United States,1600000US0623182,0623182,United States - California - Fairfield city,Fairfield city,60680,4308
0100000US,,United States,1600000US0624477,0624477,United States - California - Florence-Graham CDP,Florence-Graham CDP,30248,6180
0100000US,,United States,1600000US0624638,0624638,United States - California - Folsom city,Folsom city,78317,6134
0100000US,,United States,1600000US0624680,0624680,United States - California - Fontana city,Fontana city,58481,6646
0100000US,,United States,1600000US0626000,0626000,United States - California - Fremont city,Fremont city,81582,4461
0100000US,,United States,1600000US0627000,0627000,United States - California - Fresno city,Fresno city,37800,2624
0100000US,,United States,1600000US0628000,0628000,United States - California - Fullerton city,Fullerton city,58228,5907
0100000US,,United States,1600000US0629000,0629000,United States - California - Garden Grove city,Garden Grove city,52229,3183
0100000US,,United States,1600000US0630000,0630000,United States - California - Glendale city,Glendale city,49750,3256
0100000US,,United States,1600000US0632548,0632548,United States - California - Hawthorne city,Hawthorne city,41629,4074
0100000US,,United States,1600000US0633000,0633000,United States - California - Hayward city,Hayward city,55649,6335
0100000US,,United States,1600000US0633182,0633182,United States - California - Hemet city,Hemet city,32060,4671
0100000US,,United States,1600000US0633434,0633434,United States - California - Hesperia city,Hesperia city,50298,4523
0100000US,,United States,1600000US0636000,0636000,United States - California - Huntington Beach city,Huntington Beach city,72141,2681
0100000US,,United States,1600000US0636448,0636448,United States - California - Indio city,Indio city,38878,6481
0100000US,,United States,1600000US0636546,0636546,United States - California - Inglewood city,Inglewood city,34962,3944
0100000US,,United States,1600000US0636770,0636770,United States - California - Irvine city,Irvine city,82827,4100
0100000US,,United States,1600000US0639496,0639496,United States - California - Lake Forest city,Lake Forest city,84081,6331
0100000US,,United States,1600000US0639892,0639892,United States - California - Lakewood city,Lakewood city,66186,6541
0100000US,,United States,1600000US0640130,0640130,United States - California - Lancaster city,Lancaster city,44277,3582
0100000US,,United States,1600000US0641992,0641992,United States - California - Livermore city,Livermore city,96632,8662
0100000US,,United States,1600000US0643000,0643000,United States - California - Long Beach city,Long Beach city,43746,1741
0100000US,,United States,1600000US0644000,0644000,United States - California - Los Angeles city,Los Angeles city,42667,973
0100000US,,United States,1600000US0644574,0644574,United States - California - Lynwood city,Lynwood city,34738,3760
0100000US,,United States,1600000US0646898,0646898,United States - California - Merced city,Merced city,32791,4513
0100000US,,United States,1600000US0648256,0648256,United States - California - Mission Viejo city,Mission Viejo city,90855,7599
0100000US,,United States,1600000US0648354,0648354,United States - California - Modesto city,Modesto city,45769,3819
0100000US,,United States,1600000US0649270,0649270,United States - California - Moreno Valley city,Moreno Valley city,56111,3276
0100000US,,United States,1600000US0649670,0649670,United States - California - Mountain View city,Mountain View city,75411,10318
0100000US,,United States,1600000US0650076,0650076,United States - California - Murrieta city,Murrieta city,63028,6008
0100000US,,United States,1600000US0650258,0650258,United States - California - Napa city,Napa city,57040,7198
0100000US,,United States,1600000US0651182,0651182,United States - California - Newport Beach city,Newport Beach city,97428,7886
0100000US,,United States,1600000US0652526,0652526,United States - California - Norwalk city,Norwalk city,51137,2838
0100000US,,United States,1600000US0653000,0653000,United States - California - Oakland city,Oakland city,44124,2362
0100000US,,United States,1600000US0653322,0653322,United States - California - Oceanside city,Oceanside city,55382,4194
0100000US,,United States,1600000US0653896,0653896,United States - California - Ontario city,Ontario city,46344,6034
0100000US,,United States,1600000US0653980,0653980,United States - California - Orange city,Orange city,69695,5326
0100000US,,United States,1600000US0654652,0654652,United States - California - Oxnard city,Oxnard city,48952,3903
0100000US,,United States,1600000US0655156,0655156,United States - California - Palmdale city,Palmdale city,46536,6170
0100000US,,United States,1600000US0656000,0656000,United States - California - Pasadena city,Pasadena city,51233,4571
0100000US,,United States,1600000US0657792,0657792,United States - California - Pleasanton city,Pleasanton city,101022,4266
0100000US,,United States,1600000US0658072,0658072,United States - California - Pomona city,Pomona city,41805,3636
0100000US,,United States,1600000US0659451,0659451,United States - California - Rancho Cucamonga city,Rancho Cucamonga city,71967,4706
0100000US,,United States,1600000US0659920,0659920,United States - California - Redding city,Redding city,42891,5276
0100000US,,United States,1600000US0659962,0659962,United States - California - Redlands city,Redlands city,52111,6906
0100000US,,United States,1600000US0660018,0660018,United States - California - Redondo Beach city,Redondo Beach city,85594,10289
0100000US,,United States,1600000US0660102,0660102,United States - California - Redwood City city,Redwood City city,67829,10020
0100000US,,United States,1600000US0660466,0660466,United States - California - Rialto city,Rialto city,50446,5411
0100000US,,United States,1600000US0660620,0660620,United States - California - Richmond city,Richmond city,52794,5232
0100000US,,United States,1600000US0662000,0662000,United States - California - Riverside city,Riverside city,50416,2601
0100000US,,United States,1600000US0662938,0662938,United States - California - Roseville city,Roseville city,62291,7233
0100000US,,United States,1600000US0664000,0664000,United States - California - Sacramento city,Sacramento city,44867,2077
0100000US,,United States,1600000US0664224,0664224,United States - California - Salinas city,Salinas city,50165,4825
0100000US,,United States,1600000US0665000,0665000,United States - California - San Bernardino city,San Bernardino city,33915,2818
0100000US,,United States,1600000US0665042,0665042,United States - California - San Buenaventura (Ventura) city,San Buenaventura (Ventura) city,57574,5234
0100000US,,United States,1600000US0666000,0666000,United States - California - San Diego city,San Diego city,55637,1487
0100000US,,United States,1600000US0667000,0667000,United States - California - San Francisco city,San Francisco city,57496,1917
0100000US,,United States,1600000US0668000,0668000,United States - California - San Jose city,San Jose city,70921,1617
0100000US,,United States,1600000US0668084,0668084,United States - California - San Leandro city,San Leandro city,55235,5170
0100000US,,United States,1600000US0668196,0668196,United States - California - San Marcos city,San Marcos city,67313,5082
0100000US,,United States,1600000US0668252,0668252,United States - California - San Mateo city,San Mateo city,76704,5552
0100000US,,United States,1600000US0669000,0669000,United States - California - Santa Ana city,Santa Ana city,47438,3497
0100000US,,United States,1600000US0669070,0669070,United States - California - Santa Barbara city,Santa Barbara city,61182,7335
0100000US,,United States,1600000US0669084,0669084,United States - California - Santa Clara city,Santa Clara city,71284,4129
0100000US,,United States,1600000US0669088,0669088,United States - California - Santa Clarita city,Santa Clarita city,74759,5019
0100000US,,United States,1600000US0669196,0669196,United States - California - Santa Maria city,Santa Maria city,45200,5443
0100000US,,United States,1600000US0670000,0670000,United States - California - Santa Monica city,Santa Monica city,55274,6494
