Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Total Precipitation,Wind Speed,Wind Direction
2018,10,14,0,0,17.82,65,0,8.89,148.24
2018,10,14,1,0,17.86,66,0,6.61,150.64
2018,10,14,2,0,17.96,66,0,3.67,168.69
2018,10,14,3,0,17.72,68,0,9.75,4.24
2018,10,14,4,0,17.01,71,0,20.36,351.87
2018,10,14,5,0,15.28,87,0,27.74,357.77
2018,10,14,6,0,15.01,85,0,30.72,10.12
2018,10,14,7,0,15.18,82,0,33,13.88
2018,10,14,8,0,15.5,80,0,35.73,12.22
2018,10,14,9,0,15.87,78,0,39.08,5.82
2018,10,14,10,0,16.11,78,0,40.09,355.36
2018,10,14,11,0,16.15,83,0.3,38.52,344.28
2018,10,14,12,0,15.98,87,0,36.56,334.95
2018,10,14,13,0,15.38,88,0.2,33.96,327.99
2018,10,14,14,0,17.68,73,0,38.78,311.24
2018,10,14,15,0,17.71,73,0,38.45,316.14
2018,10,14,16,0,17.31,76,0,37.71,317.32
2018,10,14,17,0,16.84,84,0,35.89,315.41
2018,10,14,18,0,16.07,88,0,34.44,311.19
2018,10,14,19,0,15.62,85,0,31.6,312.23
2018,10,14,20,0,15.49,83,0,29.28,316.49
2018,10,14,21,0,15.35,85,0,28.01,322.84
2018,10,14,22,0,15.42,87,0,27.58,324.03
2018,10,14,23,0,15.4,90,0,26.04,319.48
2018,10,15,0,0,15.34,90,0,23.69,313.15
2018,10,15,1,0,15.31,89,0,20.88,313.6
2018,10,15,2,0,15.19,89,0,20.38,305.66
2018,10,15,3,0,15.09,87,0,18.03,296.05
2018,10,15,4,0,15.09,84,0,15.79,294.23
2018,10,15,5,0,15.27,82,0,13.66,288.43
2018,10,15,6,0,14.65,83,0,11.93,275.19
2018,10,15,7,0,14.86,81,0,12.62,273.27
2018,10,15,8,0,15.58,77,0,11.53,284.47
2018,10,15,9,0,16.66,72,0,11.12,299.05
2018,10,15,10,0,16.59,73,0,13.78,303.27
2018,10,15,11,0,16.62,72,0,15.19,301.43
2018,10,15,12,0,16.82,72,0,15.32,293.55
2018,10,15,13,0,16.72,73,0,16.75,278.65
2018,10,15,14,0,18.96,65,0,18.21,251.57
2018,10,15,15,0,18.11,69,0,19.16,241.99
2018,10,15,16,0,17.97,69,0,17.07,227.56
2018,10,15,17,0,17.99,68,0,15.46,207.76
2018,10,15,18,0,17.73,67,0,17.23,190.84
2018,10,15,19,0,17.01,64,0,17.65,182.34
2018,10,15,20,0,16.54,61,0,17.28,180
2018,10,15,21,0,16.27,67,0,14.92,171.67
2018,10,15,22,0,16.09,72,0,13.1,159.08
2018,10,15,23,0,15.93,75,0,11.92,151.11
2018,10,16,0,0,15.65,76,0,12.57,156.37
2018,10,16,1,0,15.49,77,0,14.8,161.57
2018,10,16,2,0,14.93,81,0,15.94,161.57
2018,10,16,3,0,14.65,83,0,16.98,158.88
2018,10,16,4,0,14.44,83,0,16.75,154.54
2018,10,16,5,0,14.15,84,0,17.07,152.35
2018,10,16,6,0,14.3,82,0,18.89,149.04
2018,10,16,7,0,15.12,79,0,19.97,146.02
2018,10,16,8,0,16.34,70,0,21.31,142.55
2018,10,16,9,0,17.28,66,0,19.91,139.4
2018,10,16,10,0,18.73,59,0,16.92,141.91
2018,10,16,11,0,20.09,52,0,15.32,156.45
